Item,Item Name,Count
100,Tomato Soup,0
101,Chicken Soup,13
102,Garden Salad,11
103,Caesar Salad,11
104,Spring Rolls,10
105,Samosas,10
106,Bruschetta,10
107,Shrimp Cocktail,9
108,Calamari Rings,11
109,Seafood Skewers,10
200,Steaks,8
201,Burgers,8
202,Pork Chops,10
203,Lamb Chops,8
204,Chicken Breast,7
205,Roasted Duck,6
206,Turkey Dishes,8
207,Grilled Fish,8
208,Fried Fish,9
209,Seafood Pasta,7
210,Sushi Rolls,9
211,Spaghetti,6
212,Fettuccine,8
213,Lasagna,8
214,Ravioli,8
215,Vegetable Stir-Fry,7
216,Tofu Dishes,7
217,Vegetarian Pasta,8
218,Salads,8
301,Mashed Potatoes,8
302,French Fries,8
303,Roasted Potatoes,9
304,Potato Wedges,8
305,Steamed Vegetables,9
306,Grilled Vegetables,8
307,Mixed Vegetable Medley,8
308,Plain Rice,9
309,Fried Rice,8
310,Pilaf,9
311,Garlic Bread,8
312,Dinner Rolls,7
313,Naan Bread,8
401,Chocolate Cake,7
402,Cheesecake,9
403,Carrot Cake,7
404,Tiramisu,8
405,Various Flavors with Toppings,8
406,Apple Pie,8
407,Cherry Pie,8
408,Key Lime Pie,9
409,Chocolate Pudding,7
410,Rice Pudding,8
411,Custard,9
412,Fruit Salad,9
413,Sliced Fruits,9
414,Fruit Platter,9
501,Water,7
502,Soda,8
503,Juice,9
504,Lemonade,10
505,Iced Tea,9
506,Coffee,9
507,Beer,8
508,Wine,9
509,Cocktails,8
510,Whiskey,11
511,Vodka,10
512,Liqueurs,9
